"Regulon"	"Size"	"NES"	"p.value"	"FDR"	"Synergy"	"Ledge"
"GTF3A"	"GTF3A"	125	0.69	0.492	0.781	NA	"PRDM2, RRS1, ERLIN2, ARPC3, + 78 genes"
"SKIL"	"SKIL"	102	0.69	0.492	0.781	NA	"CBFB, EOGT, KBTBD2, ELK3, + 65 genes"
"ZNF444"	"ZNF444"	150	0.68	0.498	0.782	NA	"NPDC1, SMARCD3, PNKP, MIOS, + 85 genes"
"ZNF83"	"ZNF83"	71	0.67	0.503	0.782	NA	"DONSON, GUSBP11, KLHL17, ALS2CL, + 34 genes"
"ZNF362"	"ZNF362"	118	0.67	0.505	0.782	NA	"INSR, AMD1, PCGF2, PHC2, + 50 genes"
"THAP10"	"THAP10"	95	0.66	0.506	0.782	NA	"RPRD1A, PPP3CB, TSPAN3, ISOC1, + 47 genes"
"ZNF584"	"ZNF584"	27	0.66	0.507	0.782	NA	"DTD1, RUFY1, MECR, DGKG, + 13 genes"
"DR1"	"DR1"	86	0.65	0.516	0.789	NA	"PPP3CB, CSGALNACT2, UBA2, ZNF217, + 51 genes"
"ZNF593"	"ZNF593"	128	0.64	0.522	0.794	NA	"SLC22A18, REV3L, STAG1, SCAF8, + 94 genes"
"LEF1"	"LEF1"	59	0.63	0.527	0.797	NA	"RNF128, CXCL12, FAM129B, SH3KBP1, + 11 genes"
"THAP3"	"THAP3"	228	0.63	0.527	0.797	NA	"AP1S3, CUTC, SLC37A4, HNRNPM, + 147 genes"
"PRRX2"	"PRRX2"	113	0.63	0.529	0.797	NA	"PDGFA, SERPINH1, GPR85, P3H1, + 66 genes"
"ZNF71"	"ZNF71"	55	0.63	0.529	0.797	NA	"LINC00882, LINC00271, ZNF48, ZFAND1, + 25 genes"
"USF2"	"USF2"	40	0.63	0.531	0.798	NA	"TAF15, SDF4, STK11, PPP1R35, + 23 genes"
"E2F4"	"E2F4"	53	0.63	0.531	0.798	NA	"ANKRD13D, MAPK12, LRRC58, MAP3K2, + 25 genes"
"ZNF385A"	"ZNF385A"	43	0.62	0.537	0.803	NA	"NUP54, SP4, YTHDC1, RSBN1, + 10 genes"
"TBX19"	"TBX19"	131	0.61	0.542	0.807	NA	"NOD1, FAM111A-DT, LMBR1L, OGDH, + 73 genes"
"SATB2"	"SATB2"	131	0.61	0.545	0.807	NA	"PLK2, NID1, ELK3, CDR2L, + 53 genes"
"ZNF692"	"ZNF692"	136	0.6	0.546	0.807	NA	"SAMD10, ITGB1BP2, CDK5RAP1, CCNL2, + 59 genes"
"PBX3"	"PBX3"	126	0.6	0.547	0.807	NA	"RGN, TK2, AHNAK2, C16orf89, + 14 genes"
"SOX12"	"SOX12"	86	0.6	0.549	0.808	NA	"STX7, CBX4, FUT1, PLPPR2, + 39 genes"
"KDM5B"	"KDM5B"	251	0.6	0.55	0.808	NA	"XPR1, ALDH2, SCARB2, CUL7, + 176 genes"
"SOX17"	"SOX17"	45	0.59	0.555	0.81	NA	"ELFN1, JAG2, PKN3, ALPL, + 24 genes"
"TBX15"	"TBX15"	27	0.58	0.559	0.81	NA	"KRT86, COL4A1, CSPG4, LOXL2, + 14 genes"
"ZSCAN9"	"ZSCAN9"	79	0.58	0.564	0.812	NA	"SLC30A9, ZSCAN16, NXF1, CDV3, + 37 genes"
"POU5F1B"	"POU5F1B"	67	0.57	0.566	0.812	NA	"TENM1, SPRY4, SLIT1, SPRY4-AS1, + 19 genes"
"ZNF174"	"ZNF174"	65	0.57	0.572	0.815	NA	"USP39, DHRSX, SLC37A4, ACP6, + 28 genes"
"MXD4"	"MXD4"	74	0.56	0.575	0.818	NA	"ST6GALNAC6, HDAC7, PLPPR2, BLOC1S6, + 30 genes"
"MXD3"	"MXD3"	93	0.56	0.576	0.818	NA	"SERINC1, KAT2A, CCNL2, KMT5C, + 47 genes"
"ZNF747"	"ZNF747"	116	0.56	0.577	0.818	NA	"RETREG3, HARS, EVC, JAGN1, + 56 genes"
"SPI1"	"SPI1"	168	0.55	0.583	0.821	NA	"SLC17A5, MVP, GNAI2, HPGDS, + 107 genes"
"ZGPAT"	"ZGPAT"	70	0.55	0.583	0.821	NA	"SHOC2, CDK11B, ZNF513, DGKQ, + 26 genes"
"POU5F1"	"POU5F1"	26	0.55	0.585	0.821	NA	"ARHGAP27P1-BPTFP1-KPNA2P3, GSDMB, CCNL2, KMT5C, + 8 genes"
"ZNF69"	"ZNF69"	106	0.54	0.588	0.823	NA	"SEC22C, RHBDL2, HMGCR, PANK1, + 37 genes"
"BACH2"	"BACH2"	85	0.53	0.597	0.828	NA	"KCNQ3, SNTA1, KCNQ1, ZNF217, + 47 genes"
"ZNF787"	"ZNF787"	70	0.53	0.597	0.828	NA	"ZNF579, ZNF628, MYPOP, CLEC11A, + 36 genes"
"TOX2"	"TOX2"	55	0.52	0.601	0.83	NA	"FRMD8, TECTA, ASAH1, BLOC1S6, + 18 genes"
"MYBL2"	"MYBL2"	98	0.52	0.604	0.83	NA	"PAQR4, GABRB2, FAM69A, THOC5, + 31 genes"
"ZNF224"	"ZNF224"	124	0.52	0.605	0.83	NA	"GPCPD1, GTF2H4, GUSBP11, ARHGAP27P1-BPTFP1-KPNA2P3, + 56 genes"
"MESP1"	"MESP1"	61	0.51	0.612	0.832	NA	"SMARCD3, RHPN1, HDAC8, CHST7, + 28 genes"
"ZNF296"	"ZNF296"	55	0.5	0.615	0.833	NA	"MUT, ZNF865, ZNF579, CEP131, + 17 genes"
"TBX2"	"TBX2"	115	0.5	0.618	0.835	NA	"ELFN1, JAG2, GPR4, VWA1, + 19 genes"
"TFAP2C"	"TFAP2C"	61	0.49	0.621	0.838	NA	"TBC1D22B, AHR, SERINC5, P2RY6, + 25 genes"
"HOXB3"	"HOXB3"	32	0.49	0.627	0.846	NA	"CAPN11, VASH1, HOXB6, MKNK1, + 13 genes"
"KLF5"	"KLF5"	103	0.48	0.632	0.85	NA	"TEAD3, ALDH2, TMEM43, ANXA6, + 43 genes"
"ZNF771"	"ZNF771"	28	0.47	0.635	0.85	NA	"ZNF579, C4orf48, EVA1B, PRR7, + 12 genes"
"QRICH1"	"QRICH1"	44	0.47	0.636	0.85	NA	"ERLIN1, GGA3, SERTAD2, LDB1, + 23 genes"
"PHB"	"PHB"	318	0.47	0.641	0.855	NA	"RDH5, SRP68, BCKDK, BRD7, + 157 genes"
"ZNF667"	"ZNF667"	69	0.46	0.648	0.859	NA	"POU2F3, ANKS6, PLEKHG4, CALCOCO1, + 34 genes"
"ZNF837"	"ZNF837"	42	0.46	0.649	0.859	NA	"MRPL38, ZNF865, ZNF579, ZNF205, + 17 genes"
"ZNF668"	"ZNF668"	55	0.45	0.652	0.859	NA	"LAMA5, PNRC2, TBC1D10B, LMNB2, + 16 genes"
"VENTX"	"VENTX"	66	0.44	0.657	0.862	NA	"TMEM167B, TMEM121B, VASH1, FCGR2A, + 30 genes"
"FOXK1"	"FOXK1"	51	0.44	0.657	0.862	NA	"CASTOR2, PCDH1, TMEM14A, PEBP1, + 24 genes"
"CIC"	"CIC"	63	0.44	0.66	0.863	NA	"PLXNB2, AP2A1, NUP188, MNT, + 36 genes"
"FOXC2"	"FOXC2"	41	0.44	0.662	0.864	NA	"SYNPO, OXTR, NPTX2, SLC52A3, + 19 genes"
"ZNF649"	"ZNF649"	35	0.43	0.666	0.866	NA	"RGS14, GPD2, RAB3IL1, RRN3P3, + 18 genes"
"ZNF395"	"ZNF395"	102	0.43	0.667	0.866	NA	"ERBB3, GABRB2, RNF39, RAD18, + 40 genes"
"ZNF195"	"ZNF195"	28	0.43	0.668	0.866	NA	"NDRG1, TAF1D, LGALS8, STK40, + 9 genes"
"ZMYM3"	"ZMYM3"	91	0.42	0.672	0.866	NA	"CUL7, MPC1, CALCOCO1, EPN2, + 48 genes"
"ZNF418"	"ZNF418"	37	0.42	0.672	0.866	NA	"RNF146, SIRT3, EIF3J-DT, AFDN-DT, + 13 genes"
"FIZ1"	"FIZ1"	104	0.42	0.672	0.866	NA	"RETREG3, HARS, PGM2, SCAP, + 94 genes"
"TWIST1"	"TWIST1"	58	0.42	0.672	0.866	NA	"SERPINH1, NPTX2, NTM, NLGN2, + 29 genes"
"HOXB2"	"HOXB2"	54	0.42	0.674	0.868	NA	"EPB41L4B, C1orf54, TRIB2, PROCR, + 33 genes"
"ZNF576"	"ZNF576"	158	0.42	0.678	0.871	NA	"SDF2, P4HTM, MECR, KEAP1, + 89 genes"
"STAT4"	"STAT4"	149	0.41	0.679	0.871	NA	"EHBP1L1, COBL, TRABD2A, TMEM100, + 80 genes"
"TOE1"	"TOE1"	79	0.41	0.68	0.871	NA	"KIAA2013, ANKIB1, LIMS1, DDX24, + 28 genes"
"DEAF1"	"DEAF1"	106	0.4	0.686	0.876	NA	"SLC35C2, SLC16A7, NCK2, PEMT, + 37 genes"
"FOXM1"	"FOXM1"	88	0.39	0.7	0.883	NA	"PLCD3, CPQ, LOXL2, CASP3, + 53 genes"
"AKNA"	"AKNA"	58	0.38	0.701	0.883	NA	"LASP1, SLC26A7, BCAP29, SLC25A17, + 14 genes"
"ZNF208"	"ZNF208"	28	0.38	0.705	0.886	NA	"TMEM41A, RGL3, MEMO1, SH3D21, + 8 genes"
"ZNF610"	"ZNF610"	33	0.38	0.707	0.887	NA	"RHNO1, IRAK1, LRRC37B, VIPAS39, + 6 genes"
"OVOL1"	"OVOL1"	38	0.37	0.709	0.889	NA	"GRHL1, PTPRF, PRRG1, MAP3K5, + 5 genes"
"ZNF726"	"ZNF726"	37	0.37	0.715	0.89	NA	"CENPU, HELLS, CENPK, RFC5, + 14 genes"
"MAFK"	"MAFK"	91	0.36	0.718	0.89	NA	"GTPBP2, HGS, LAMA5, ADAMTS10, + 46 genes"
"LYL1"	"LYL1"	115	0.36	0.72	0.89	NA	"C5AR2, GNAI2, SLC52A3, PROB1, + 51 genes"
"SREBF2"	"SREBF2"	121	0.36	0.721	0.89	NA	"RAD23B, MSN, FAXC, SPATS2, + 30 genes"
"FOXP3"	"FOXP3"	39	0.36	0.722	0.89	NA	"MYD88, TMEM51, HDAC9, CLEC4A, + 16 genes"
"GATA6"	"GATA6"	60	0.35	0.723	0.89	NA	"LPAR5, TDRD10, PRPSAP1, F11R, + 23 genes"
"ZNF133"	"ZNF133"	61	0.35	0.724	0.89	NA	"DPH3, ZNF7, TMED5, LEMD2, + 56 genes"
"ZNF514"	"ZNF514"	50	0.35	0.724	0.89	NA	"LMBR1L, FAM111A, PLEKHM1P1, URAHP, + 17 genes"
"HOXB7"	"HOXB7"	37	0.35	0.727	0.891	NA	"GNAI2, PIPOX, FCER1G, PILRA, + 23 genes"
"ZNF335"	"ZNF335"	86	0.34	0.733	0.897	NA	"ITGA7, C2orf69, NHLRC4, SH3D21, + 34 genes"
"ZNF485"	"ZNF485"	31	0.33	0.739	0.901	NA	"UTP14A, MAPRE1, MIS18A, SLC27A4, + 9 genes"
"ZFP69"	"ZFP69"	30	0.33	0.744	0.906	NA	"ZSCAN16, FGGY, MBD4, MAFG, + 25 genes"
"GATAD2B"	"GATAD2B"	56	0.32	0.753	0.912	NA	"RIT1, IKZF4, BCL9, SNX27, + 26 genes"
"ZNF75D"	"ZNF75D"	60	0.31	0.753	0.912	NA	"LRRK2, NAT8L, IKZF2, CDC42SE1, + 22 genes"
"SMARCE1"	"SMARCE1"	74	0.31	0.754	0.912	NA	"IKBIP, RAB29, CDK2AP1, NDRG1, + 16 genes"
"RFX5"	"RFX5"	39	0.31	0.756	0.912	NA	"PARP9, SETMAR, ANKFY1, BRCA2, + 13 genes"
"ZNF777"	"ZNF777"	34	0.31	0.757	0.912	NA	"UPF1, ZNF598, ZNF687, NOA1, + 10 genes"
"ZBTB17"	"ZBTB17"	66	0.31	0.758	0.912	NA	"RAB6A, IBTK, RBM10, CLCN3, + 32 genes"
"ZNF446"	"ZNF446"	91	0.3	0.761	0.914	NA	"ZNF205, UBE2J1, FUZ, EHMT2, + 84 genes"
"ZNF202"	"ZNF202"	38	0.3	0.762	0.914	NA	"LRP5L, TGM1, FAM111A, ATP6V1FNB, + 10 genes"
"ZNF511"	"ZNF511"	173	0.3	0.763	0.914	NA	"SCAF11, BUD23, HMG20B, ZNF793-AS1, + 163 genes"
"ZNF414"	"ZNF414"	51	0.3	0.767	0.915	NA	"AGPS, E4F1, RNF126, TMEM259, + 47 genes"
"DNAJC2"	"DNAJC2"	89	0.29	0.769	0.916	NA	"SLC24A3, RBM17, ZSCAN16, AGPAT3, + 38 genes"
"ARID5B"	"ARID5B"	211	0.29	0.773	0.917	NA	"F2R, NID1, ELK3, MGAT3, + 93 genes"
"BOLA1"	"BOLA1"	158	0.29	0.773	0.917	NA	"NIT1, RC3H2, MYL6B, MRM1, + 151 genes"
"TEAD1"	"TEAD1"	241	0.29	0.775	0.917	NA	"PSD3, TANC2, ASCC3, LYST, + 145 genes"
"BACH1"	"BACH1"	108	0.28	0.781	0.919	NA	"RASA1, EDEM1, DHODH, WDR26, + 59 genes"
"PBX2"	"PBX2"	70	0.27	0.785	0.919	NA	"ICAM5, NUDT17, MFAP2, CCDC120, + 31 genes"
"ZFPM1"	"ZFPM1"	33	0.27	0.786	0.919	NA	"ZNF236-DT, TLNRD1, GPX1P1, SCAND1, + 28 genes"
"THAP7"	"THAP7"	115	0.27	0.789	0.922	NA	"POLR2I, RPL18, RPL29, DUS1L, + 107 genes"
"ZNF266"	"ZNF266"	40	0.26	0.792	0.924	NA	"LMBR1L, MTMR9LP, TIA1, ANKZF1, + 36 genes"
"DMAP1"	"DMAP1"	164	0.26	0.795	0.926	NA	"TMEM225B, TMEM39B, EPB41, SLC27A3, + 158 genes"
"ZNF512"	"ZNF512"	57	0.25	0.804	0.928	NA	"VSTM4, ZSWIM5, RNF146, HMGN1, + 21 genes"
"CXXC1"	"CXXC1"	118	0.25	0.804	0.928	NA	"ABTB1, ZMPSTE24, BRD9, IRF3, + 114 genes"
"LHX6"	"LHX6"	51	0.24	0.811	0.932	NA	"PKN3, PDGFB, MCAM, TMC7, + 20 genes"
"TFEB"	"TFEB"	88	0.24	0.812	0.932	NA	"ICK, HEATR5A, ALS2, WRN, + 83 genes"
"ZNF653"	"ZNF653"	52	0.23	0.815	0.932	NA	"SEC22B, TMEM225B, C6orf48, EPB41, + 18 genes"
"HIVEP1"	"HIVEP1"	172	0.23	0.815	0.932	NA	"EPS8, QDPR, MED13, LAMC1, + 99 genes"
"ZBTB12"	"ZBTB12"	53	0.23	0.816	0.932	NA	"PTK7, GK, CLIP3, TRIL, + 19 genes"
"ZNF846"	"ZNF846"	30	0.23	0.817	0.932	NA	"PLSCR3, GHITM, CYP2E1, CLASRP, + 8 genes"
"ETS1"	"ETS1"	84	0.23	0.818	0.932	NA	"RAPGEF5, SPARC, FRMD8, KBTBD2, + 38 genes"
"STAT3"	"STAT3"	159	0.23	0.819	0.933	NA	"GALE, NRCAM, SYNPO, AMOT, + 77 genes"
"TFEC"	"TFEC"	79	0.22	0.827	0.939	NA	"CASP3, SIGLEC9, PILRA, LACC1, + 30 genes"
"SP110"	"SP110"	85	0.22	0.828	0.94	NA	"ICAM5, VDAC3, UNC93B1, IQGAP2, + 34 genes"
"ZNF785"	"ZNF785"	26	0.21	0.832	0.94	NA	"KDM1A, EIF3J-DT, ZNF7, SDCBP, + 22 genes"
"ZBTB34"	"ZBTB34"	68	0.21	0.836	0.943	NA	"PLAG1, RIT1, GPD2, TET3, + 31 genes"
"ARID5A"	"ARID5A"	147	0.2	0.839	0.944	NA	"TGFB1, EML3, FRMD8, CAPN11, + 52 genes"
"ZNF276"	"ZNF276"	123	0.2	0.842	0.946	NA	"LMBR1L, ARHGAP27, ARHGAP27P1-BPTFP1-KPNA2P3, GSDMB, + 119 genes"
"CREB3L1"	"CREB3L1"	71	0.2	0.844	0.946	NA	"TRA2B, PXDN, PLAU, ING5, + 19 genes"
"CERS6"	"CERS6"	35	0.19	0.848	0.947	NA	"SLC12A2, SPTLC2, CPD, SPRED1, + 15 genes"
"GATA2"	"GATA2"	32	0.19	0.848	0.947	NA	"ELFN1, MMRN2, CXorf36, NOVA2, + 28 genes"
"HOPX"	"HOPX"	28	0.19	0.848	0.947	NA	"CHMP5, MAP1LC3B, TNRC6C, FAM210B, + 24 genes"
"HDX"	"HDX"	26	0.17	0.862	0.953	NA	"MAP3K1, HIVEP1, USP15, SPATA41, + 14 genes"
"PATZ1"	"PATZ1"	89	0.16	0.872	0.956	NA	"DLL4, BCRP3, SMARCB1, TMCO6, + 25 genes"
"GMEB1"	"GMEB1"	37	0.16	0.873	0.956	NA	"BCAP29, SNTA1, ERICD, NUPR1, + 13 genes"
"SNAI3"	"SNAI3"	122	0.15	0.878	0.956	NA	"BLNK, PTPN21, MIPOL1, HECTD1, + 21 genes"
"ZNF251"	"ZNF251"	87	0.15	0.883	0.958	NA	"LDB1, RGL3, ZNF300, ST3GAL5-AS1, + 83 genes"
"E2F3"	"E2F3"	55	0.14	0.888	0.962	NA	"SMURF2, EFR3A, LINC00957, FAM222B, + 30 genes"
"HES1"	"HES1"	63	0.14	0.89	0.962	NA	"MFHAS1, GLMN, HMGN5, RND3, + 19 genes"
"ZNF597"	"ZNF597"	38	0.13	0.894	0.963	NA	"SHE, HIVEP1, GCAT, DMD, + 18 genes"
"SFPQ"	"SFPQ"	128	0.12	0.901	0.967	NA	"UTP6, SF1, DDX17, PRKAG1, + 24 genes"
"ATF4"	"ATF4"	113	0.12	0.906	0.968	NA	"YBX1, DNAL4, MYO7A, ATXN10, + 21 genes"
"ZNF532"	"ZNF532"	145	0.11	0.909	0.969	NA	"VDAC3, RBMS2, RASA1, ZNF217, + 84 genes"
"SIX4"	"SIX4"	84	0.11	0.912	0.971	NA	"F2R, IDH1, CDH6, CASP6, + 29 genes"
"ZC3H3"	"ZC3H3"	26	0.11	0.915	0.971	NA	"DCAF6, SLC2A4RG, ZFP41, TMEM136, + 2 genes"
"FOSL2"	"FOSL2"	59	0.1	0.923	0.974	NA	"BHLHE40, CREB5, IVNS1ABP, MICAL2, + 19 genes"
"ZNF274"	"ZNF274"	45	0.09	0.93	0.975	NA	"DAPK2, CLIP4, CALCOCO1, GPR27, + 4 genes"
"FLI1"	"FLI1"	72	0.08	0.94	0.978	NA	"CPM, PCDH17, VASH1, NEURL1B, + 15 genes"
"ZBTB48"	"ZBTB48"	56	0.08	0.94	0.978	NA	"SNHG10, PCED1A, SNAPC4, ELMOD3, + 26 genes"
"THAP4"	"THAP4"	101	0.07	0.942	0.978	NA	"CASP8AP2, LTN1, FGD6, XAB2, + 95 genes"
"BATF"	"BATF"	111	0.07	0.943	0.978	NA	"C3, SPATA6, CFB, ZDHHC15, + 103 genes"
"IRF1"	"IRF1"	89	0.07	0.945	0.978	NA	"BCL3, RHBDF2, CSF1, GBP2, + 83 genes"
"ZBTB43"	"ZBTB43"	74	0.06	0.949	0.978	NA	"NUP188, ZNF217, SPRED2, AMMECR1, + 35 genes"
"NOC3L"	"NOC3L"	81	0.06	0.953	0.978	NA	"RGS14, JCAD, SNX1, IQGAP1, + 23 genes"
"EBF1"	"EBF1"	45	0.06	0.953	0.978	NA	"APLNR, NEURL1B, ARL15, TEAD2, + 17 genes"
"LMO2"	"LMO2"	72	0.06	0.955	0.979	NA	"POLR3D, BECN1, ZNF710-AS1, LINC00852, + 7 genes"
"UBP1"	"UBP1"	38	0.05	0.957	0.98	NA	"ZNF710, MAML3, SLFN12, MTSS1, + 17 genes"
"ZNFX1"	"ZNFX1"	124	0.05	0.961	0.981	NA	"PARP14, CDCP1, ELF4, UPF3A, + 51 genes"
"SATB1"	"SATB1"	77	0.05	0.963	0.981	NA	"CALCOCO1, IKZF2, IKZF4, ARMCX2, + 39 genes"
"ZNF691"	"ZNF691"	75	0.04	0.969	0.985	NA	"AGFG1, ZNF606, ZNF747, RPUSD2, + 43 genes"
"ZNF841"	"ZNF841"	26	0.03	0.974	0.988	NA	"ZNF207, LINC00954, OSBPL3, HERC4, + 22 genes"
"ZNF577"	"ZNF577"	62	0.03	0.977	0.989	NA	"ADNP-AS1, ZMAT1, TAMM41, FAM160A2, + 18 genes"
"ZNF623"	"ZNF623"	47	0.03	0.977	0.989	NA	"ZBTB33, CLPX, CREM, PLAC9, + 9 genes"
"DNAJC1"	"DNAJC1"	112	0.02	0.982	0.99	NA	"NET1, HNRNPA2B1, BNIP1, SEC61B, + 29 genes"
"KMT2B"	"KMT2B"	91	0.02	0.983	0.99	NA	"PLEKHM1P1, ATXN2L, SCFD1, SBNO2, + 36 genes"
"SMARCC2"	"SMARCC2"	140	0.02	0.983	0.99	NA	"PIAS3, CALCOCO1, SUSD6, LDB1, + 57 genes"
"TEF"	"TEF"	26	0.02	0.984	0.99	NA	"NR1D1, KIAA1522, GTPBP1, SF3B2, + 4 genes"
"ZNF629"	"ZNF629"	118	0.02	0.988	0.994	NA	"RNF40, CLUH, NFIC, B3GNT2, + 31 genes"
"ZNF700"	"ZNF700"	38	0.01	0.99	0.994	NA	"OGT, MSH5, GNA11, INTS6L, + 34 genes"
"ERG"	"ERG"	66	0	1	1	NA	"CLEC14A, PIEZO2, EFNB2, COL15A1, + 15 genes"
"PLEK"	"PLEK"	115	0	1	1	NA	"SIGLEC9, CD33, CCR1, IGSF6, + 108 genes"
"PRDM15"	"PRDM15"	92	0	0.998	1	NA	"FBXO8, STAT2, SH3BP2, ATP6V1H, + 20 genes"
"ZNF32"	"ZNF32"	224	0	0.997	1	NA	"NDUFS4, ZNF747, PUS3, ATP23, + 127 genes"
"ZNF28"	"ZNF28"	111	-0.02	0.983	0.99	NA	"RPRD1A, SGPL1, ANKRD34A, ADSS, + 24 genes"
"FOXO6"	"FOXO6"	49	-0.04	0.965	0.981	NA	"LPIN2, SEMA3C, CD274, NECAB3, + 14 genes"
"NCOA2"	"NCOA2"	104	-0.04	0.965	0.981	NA	"RASA1, EFR3A, ITPR2, NHSL2, + 50 genes"
"DDIT3"	"DDIT3"	144	-0.05	0.964	0.981	NA	"MIA2, CDC37L1, TSR2, CYC1, + 61 genes"
"DNMT3A"	"DNMT3A"	58	-0.05	0.962	0.981	NA	"HDAC7, LAMTOR3, ABCC10, CHMP2B, + 11 genes"
"ZNF19"	"ZNF19"	42	-0.06	0.953	0.978	NA	"FBXO4, IPO5P1, DUSP10, TXNL4B, + 18 genes"
"ARNT2"	"ARNT2"	100	-0.06	0.95	0.978	NA	"TUSC3, TIAM1, PCDHB14, ATP11A, + 40 genes"
"ZMYM5"	"ZMYM5"	61	-0.06	0.95	0.978	NA	"MGAT1, ALDH4A1, WDR26, CSRNP2, + 7 genes"
"ZNF709"	"ZNF709"	51	-0.06	0.95	0.978	NA	"RPS18P9, AZIN1-AS1, ZSWIM1, SIAH1, + 27 genes"
"HSF4"	"HSF4"	62	-0.06	0.95	0.978	NA	"SMIM13, ARHGAP33, MCRIP2, MHENCR, + 25 genes"
"ZNF267"	"ZNF267"	66	-0.07	0.944	0.978	NA	"OPLAH, SYPL2, PELI1, FAM83F, + 27 genes"
"REST"	"REST"	66	-0.07	0.941	0.978	NA	"PDE5A, DHRS12, TMCC1, GSTK1, + 31 genes"
"SP140L"	"SP140L"	41	-0.08	0.94	0.978	NA	"PINLYP, STRAP, UNC13D, TMEM38B, + 35 genes"
"BATF2"	"BATF2"	42	-0.08	0.933	0.976	NA	"OAS2, OAS1, RFX5, GLRX, + 38 genes"
"STAT5B"	"STAT5B"	37	-0.08	0.933	0.976	NA	"ATP11A, SLC9A7, KIF13B, MED19, + 32 genes"
"IRF4"	"IRF4"	49	-0.09	0.931	0.975	NA	"PCED1B-AS1, CYTIP, CD7, IGHA1, + 22 genes"
"SNAPC4"	"SNAPC4"	103	-0.09	0.928	0.974	NA	"POMT1, CNTROB, CXXC1, ADAMTS13, + 31 genes"
"PPARD"	"PPARD"	66	-0.09	0.928	0.974	NA	"KCNK5, FOXP4, PRKACA, STXBP6, + 17 genes"
"ZNF600"	"ZNF600"	41	-0.09	0.926	0.974	NA	"CERS4, CALM3, TBX21, PINK1, + 14 genes"
"ZNF467"	"ZNF467"	60	-0.09	0.926	0.974	NA	"PDHA1, XRCC4, NAALADL2, SLC2A4RG, + 12 genes"
"YBX1"	"YBX1"	50	-0.1	0.923	0.974	NA	"DMXL2, OGA, TECPR2, CEP164, + 13 genes"
"SOX13"	"SOX13"	47	-0.1	0.922	0.974	NA	"PKN3, ADAMTS10, ARAP3, CASKIN2, + 14 genes"
"ZNF662"	"ZNF662"	47	-0.1	0.92	0.974	NA	"WNT2B, TRO, ATG101, SETD4, + 13 genes"
"POU2F2"	"POU2F2"	81	-0.1	0.92	0.974	NA	"CCDC88B, ADGRG5, MAP4K1, TSPAN32, + 50 genes"
"ZNF592"	"ZNF592"	104	-0.11	0.914	0.971	NA	"NUP188, ZDHHC5, FAM104B, C12orf49, + 32 genes"
"ZNF143"	"ZNF143"	66	-0.11	0.912	0.971	NA	"IFNGR1, MEX3C, ZNF207, MMP15, + 15 genes"
"ZNF496"	"ZNF496"	48	-0.12	0.908	0.969	NA	"FAM3D, PSMD14, SSB, KLF13, + 7 genes"
"ZNF683"	"ZNF683"	34	-0.12	0.905	0.968	NA	"PCED1B-AS1, PTPN7, CALHM6, PATL2, + 13 genes"
"RBPJ"	"RBPJ"	64	-0.12	0.904	0.968	NA	"TCTA, ERO1A, OPLAH, GBA2, + 7 genes"
"IRF2"	"IRF2"	55	-0.12	0.903	0.968	NA	"RAB33A, IL2RB, EVI2B, ITGA4, + 24 genes"
"ELK4"	"ELK4"	241	-0.13	0.897	0.964	NA	"RIT1, BAZ1A, TET3, SKIL, + 97 genes"
"BOLA3"	"BOLA3"	179	-0.13	0.896	0.964	NA	"IFI27L1, CENPX, COX8A, KIDINS220, + 88 genes"
"MAF"	"MAF"	32	-0.14	0.892	0.962	NA	"SMPDL3A, ADGRE5, RHPN2, TSPAN9, + 7 genes"
"FOXP1"	"FOXP1"	94	-0.14	0.892	0.962	NA	"PRICKLE3, DOCK5, SPIRE1, RAB2B, + 18 genes"
"E2F6"	"E2F6"	64	-0.15	0.884	0.958	NA	"PLAG1, C11orf95, TCTN3, GPR27, + 20 genes"
"JUND"	"JUND"	50	-0.15	0.881	0.957	NA	"NADK, FAM217B, DRD4, ATF3, + 12 genes"
"MEF2B"	"MEF2B"	61	-0.15	0.88	0.957	NA	"ZNF296, CCDC88B, SH2B2, TSPAN32, + 42 genes"
"BNC2"	"BNC2"	141	-0.15	0.877	0.956	NA	"RUNX2, COL8A2, PCDHB14, MYO1B, + 28 genes"
"DMTF1"	"DMTF1"	107	-0.16	0.876	0.956	NA	"PHYKPL, WDR27, RUSC1-AS1, ZCCHC8, + 43 genes"
"MZF1"	"MZF1"	84	-0.16	0.876	0.956	NA	"U2AF1L4, RABL2A, LTB4R2, JMJD7-PLA2G4B, + 38 genes"
"ZNF516"	"ZNF516"	61	-0.16	0.875	0.956	NA	"ARNTL, CCDC148, KDM5B, GSTK1, + 57 genes"
"UBTF"	"UBTF"	72	-0.16	0.87	0.956	NA	"AP3S2, NCKAP1, BRF1, MOSPD1, + 23 genes"
"GON4L"	"GON4L"	86	-0.17	0.867	0.954	NA	"CDC42SE1, KDM5B, CKLF-CMTM1, BACE1, + 82 genes"
"KDM5C"	"KDM5C"	54	-0.17	0.865	0.953	NA	"DOCK6, VDAC3, ESD, CSNK1D, + 21 genes"
"MITF"	"MITF"	46	-0.17	0.864	0.953	NA	"MEGF9, DDAH1, IKZF2, DCDC2, + 6 genes"
"HIC1"	"HIC1"	48	-0.17	0.864	0.953	NA	"PCAT19, NAALAD2, GK5, RAB18, + 16 genes"
"ZNF563"	"ZNF563"	122	-0.18	0.861	0.953	NA	"COQ5, BRF2, NSG1, COLCA1, + 38 genes"
