"Regulon"	"Size"	"NES"	"p.value"	"FDR"	"Synergy"	"Ledge"
"ZC3H3"	"ZC3H3"	26	0.37	0.709	0.87	NA	"ARHGAP22, MED24, MOXD1, HSPH1, + 13 genes"
"THAP10"	"THAP10"	95	0.37	0.713	0.872	NA	"TMEM192, POLR2C, MRPL3, VPS37A, + 39 genes"
"DMAP1"	"DMAP1"	164	0.36	0.721	0.872	NA	"RECQL, PIK3CA, AGFG1, EGFL7, + 76 genes"
"CREBL2"	"CREBL2"	117	0.35	0.723	0.873	NA	"GNG10, POLR2C, TRIM3, TRAF4, + 54 genes"
"NFKB2"	"NFKB2"	291	0.35	0.726	0.874	NA	"PTP4A3, CCDC121, MUT, PEX3, + 146 genes"
"ZNF215"	"ZNF215"	53	0.35	0.726	0.874	NA	"DSN1, TP53INP1, ISYNA1, ATAD2, + 14 genes"
"ZNF415"	"ZNF415"	35	0.35	0.727	0.874	NA	"NNMT, RCBTB1, SESN1, GID4, + 8 genes"
"ZNF90"	"ZNF90"	64	0.33	0.74	0.887	NA	"CDH13, LINC01816, SLC13A3, SLC34A2, + 12 genes"
"ZNF672"	"ZNF672"	41	0.33	0.741	0.887	NA	"GYS1, CA5B, CASD1, ATAD3A, + 19 genes"
"ETV2"	"ETV2"	178	0.31	0.76	0.898	NA	"P3H4, SGMS2, ANKRD54, ASAP2, + 83 genes"
"RUNX2"	"RUNX2"	263	0.3	0.763	0.898	NA	"PLXND1, SORBS2, ISCA1, ABCC3, + 91 genes"
"NRL"	"NRL"	141	0.3	0.764	0.898	NA	"ATP2B4, BICC1, HPCAL1, AGFG1, + 49 genes"
"ZNF30"	"ZNF30"	36	0.3	0.766	0.898	NA	"CIDECP, TP53BP2, SULT1A2, LMO7, + 10 genes"
"ZBTB33"	"ZBTB33"	132	0.3	0.766	0.898	NA	"ANO6, KHDRBS1, XPO7, PPP2R5B, + 46 genes"
"NFIB"	"NFIB"	76	0.29	0.769	0.898	NA	"TFE3, RETREG3, VSTM4, SCAP, + 10 genes"
"JAZF1"	"JAZF1"	62	0.29	0.775	0.898	NA	"MRPL35, COPS4, MUC20, SLC25A42, + 23 genes"
"THAP11"	"THAP11"	69	0.28	0.776	0.898	NA	"STOML1, BCAT2, PIK3CA, BORCS6, + 15 genes"
"ID1"	"ID1"	77	0.28	0.776	0.898	NA	"ECI1, SKAP2, COQ4, FMC1, + 28 genes"
"YBX1"	"YBX1"	50	0.28	0.776	0.898	NA	"DMAC2, NDUFS2, ZNF516, MORC3, + 6 genes"
"LHX6"	"LHX6"	51	0.28	0.777	0.898	NA	"PDGFB, MCAM, VWF, NOS3, + 8 genes"
"ZNF777"	"ZNF777"	34	0.28	0.78	0.899	NA	"TRAPPC9, UPF1, ZNF282, UBE2N, + 24 genes"
"ZGLP1"	"ZGLP1"	235	0.28	0.783	0.9	NA	"SPTY2D1, ACY1, PHKG2, RAPGEF3, + 121 genes"
"ERF"	"ERF"	28	0.27	0.784	0.9	NA	"BCAR1, ZNF579, CSNK1E, SEMA4C, + 5 genes"
"ZGPAT"	"ZGPAT"	70	0.27	0.789	0.903	NA	"SHOC2, DGKQ, ACAP3, NMD3, + 44 genes"
"MYRF"	"MYRF"	40	0.26	0.796	0.905	NA	"HSDL1, PTCHD4, SLC34A2, QSOX1, + 11 genes"
"NFYC"	"NFYC"	108	0.25	0.802	0.906	NA	"SGMS2, AGFG1, LINC01607, SGMS1, + 44 genes"
"CEBPB"	"CEBPB"	35	0.25	0.805	0.906	NA	"UBALD2, CNOT1, GADD45GIP1, PDPK1, + 12 genes"
"ARNTL"	"ARNTL"	93	0.25	0.805	0.906	NA	"ZNF480, KIAA1211L, MYEF2, PC, + 29 genes"
"ZBTB48"	"ZBTB48"	56	0.23	0.816	0.917	NA	"PHKG2, PARVA, HACD2, CARMIL1, + 31 genes"
"MXI1"	"MXI1"	111	0.22	0.829	0.927	NA	"SPATA6, MARS, NPHP1, C11orf24, + 18 genes"
"ATF4"	"ATF4"	113	0.21	0.837	0.93	NA	"MTFP1, MPST, MCAT, YARS, + 39 genes"
"TAL1"	"TAL1"	56	0.18	0.859	0.938	NA	"SPAAR, SPRY4, CXorf36, NOVA2, + 6 genes"
"ZFP69B"	"ZFP69B"	144	0.17	0.863	0.942	NA	"PBX4, RAPGEF5, SHROOM4, EPS8, + 25 genes"
"HEYL"	"HEYL"	74	0.17	0.865	0.943	NA	"LZTS1, CSPG4, CDH13, HTRA1, + 23 genes"
"ZBTB17"	"ZBTB17"	66	0.17	0.869	0.945	NA	"IBTK, VPS4B, CUL3, NAPG, + 39 genes"
"EZH1"	"EZH1"	136	0.15	0.877	0.952	NA	"RAPGEF3, C1orf74, DLG4, TRIM65, + 44 genes"
"WIZ"	"WIZ"	94	0.15	0.879	0.953	NA	"PEX3, NUP107, SCRIB, PIP5K1C, + 48 genes"
"HOMEZ"	"HOMEZ"	31	0.15	0.88	0.953	NA	"MTSS1, ADAMTS7, LZTS1"
"ZFP36L1"	"ZFP36L1"	71	0.14	0.888	0.956	NA	"ZNF480, AGRN, CSNK1E, SEMA4C, + 11 genes"
"BATF3"	"BATF3"	146	0.14	0.888	0.956	NA	"PRDM5, UPP1, PRTG, TCIM, + 55 genes"
"ZBTB7C"	"ZBTB7C"	114	0.14	0.889	0.956	NA	"CC2D2A, KCNJ10, COL4A5, C2CD2, + 31 genes"
"RELB"	"RELB"	66	0.14	0.89	0.956	NA	"SYNGR2, PRUNE1, CCDC30, MLLT3, + 16 genes"
"GLIS2"	"GLIS2"	25	0.13	0.9	0.963	NA	"CDC42EP1, SEMA4C, UNC5B, COL5A1, + 5 genes"
"GRHL1"	"GRHL1"	38	0.12	0.904	0.964	NA	"SEPT8, TAF1B, SLIT1, ERCC6, + 4 genes"
"STAT5A"	"STAT5A"	66	0.12	0.907	0.965	NA	"EFTUD2, DTNBP1, ID4, PGGT1B, + 11 genes"
"ATF6B"	"ATF6B"	42	0.11	0.91	0.966	NA	"SEMA5B, UCHL5, MAP3K14-AS1, ZNF85, + 20 genes"
"LYL1"	"LYL1"	115	0.11	0.912	0.967	NA	"C5AR2, TRIP11, PACRGL, CHST12, + 33 genes"
"ZNF653"	"ZNF653"	52	0.11	0.914	0.967	NA	"TMEM225B, C6orf48, STRN, TOPBP1, + 28 genes"
"FLI1"	"FLI1"	72	0.11	0.915	0.967	NA	"CXorf36, SLC38A11, RNASE1, ITGA5, + 17 genes"
"POU5F1"	"POU5F1"	26	0.1	0.921	0.971	NA	"YWHAQ, KMT5C, POU5F1B, GOLGA8B, + 14 genes"
"ZNF668"	"ZNF668"	55	0.1	0.923	0.971	NA	"ZBTB45, SCAND1, SLC39A3, PNRC2, + 35 genes"
"UBP1"	"UBP1"	38	0.09	0.926	0.972	NA	"TIMM17B, ATP5MC2, ZNF358, TRAPPC2L, + 4 genes"
"IKZF4"	"IKZF4"	59	0.08	0.933	0.973	NA	"PI4K2B, FAM222B, NOL4L, NDRG2, + 18 genes"
"ZNF250"	"ZNF250"	34	0.07	0.941	0.976	NA	"EPDR1, NINJ2, NATD1, EVI2A, + 18 genes"
"ARID3A"	"ARID3A"	101	0.07	0.945	0.976	NA	"C12orf29, TP53INP1, PRMT5, DUBR, + 58 genes"
"SOX13"	"SOX13"	47	0.07	0.945	0.976	NA	"SHANK3, ARAP3, PKN3, HRC, + 24 genes"
"GMEB2"	"GMEB2"	60	0.07	0.946	0.976	NA	"DCAKD, MAN1A1, KCTD12, ZC3H3, + 25 genes"
"ZNF692"	"ZNF692"	136	0.07	0.946	0.976	NA	"PHKG2, SRP54-AS1, CDK5RAP1, ANKRD39, + 65 genes"
"ZNF7"	"ZNF7"	64	0.05	0.958	0.981	NA	"HECA, SLC9A5, DPH3, ZMPSTE24, + 28 genes"
"ZNF296"	"ZNF296"	55	0.05	0.96	0.981	NA	"MUT, TRIP11, GNG12, CEP131, + 20 genes"
"ARNTL2"	"ARNTL2"	318	0.05	0.964	0.982	NA	"SEMA7A, CD86, NCF2, IL11RA, + 108 genes"
"E2F6"	"E2F6"	64	0.03	0.977	0.991	NA	"TRPM4, GGPS1, RASSF4, ZBTB49, + 13 genes"
"RFX1"	"RFX1"	94	0.02	0.981	0.994	NA	"ZBTB45, PIP5K1C, MARK4, SCAP, + 48 genes"
"ZNF664"	"ZNF664"	140	0.01	0.989	0.998	NA	"ATP8B1, SLC25A15, SH2D3A, DTWD2, + 40 genes"
"ZNF324B"	"ZNF324B"	57	0.01	0.989	0.998	NA	"NMT1, TRIM65, SRCIN1, GGA2, + 24 genes"
"ZNF500"	"ZNF500"	48	0.01	0.991	0.998	NA	"HARS2, UBE2J1, TNK1, UBE2N, + 22 genes"
"ZNF76"	"ZNF76"	87	0	0.996	0.998	NA	"MAPRE3, MPV17, SULT1A2, AZIN1-AS1, + 36 genes"
"TEF"	"TEF"	26	0	0.998	0.998	NA	"SPRYD3, EXTL3, ARMH3, GTPBP1, + 2 genes"
"ZNF785"	"ZNF785"	26	0	0.998	0.998	NA	"AGFG1, PRKRIP1, EIF3J-DT, ZNF691, + 6 genes"
"ZNF649"	"ZNF649"	35	-0.01	0.995	0.998	NA	"SERAC1, ABI2, ROGDI, ITGA9, + 8 genes"
"EBF2"	"EBF2"	68	-0.01	0.994	0.998	NA	"GJC1, CSPG4, COX4I2, DCLK2, + 8 genes"
"IRF7"	"IRF7"	111	-0.01	0.993	0.998	NA	"PJA2, DLG1, IREB2, ZRANB1, + 56 genes"
"ZFAT"	"ZFAT"	56	-0.01	0.992	0.998	NA	"C1orf216, AMBRA1, TNFSF13, ZMYM6, + 6 genes"
"CBFB"	"CBFB"	103	-0.02	0.986	0.997	NA	"C19orf54, TRIM59, PSPC1, PDE6B, + 35 genes"
"SNAI3"	"SNAI3"	122	-0.02	0.985	0.997	NA	"BLNK, CASD1, DDX18, HECTD1, + 35 genes"
"CSRNP2"	"CSRNP2"	101	-0.03	0.972	0.988	NA	"PXDN, HIP1, KIZ, C16orf86, + 26 genes"
"ZNF512"	"ZNF512"	57	-0.04	0.969	0.985	NA	"RMST, DPF2, ING4, TSPY26P, + 50 genes"
"CXXC1"	"CXXC1"	118	-0.04	0.965	0.983	NA	"IBTK, GALT, SELENOO, FAM98C, + 43 genes"
"ZMYM3"	"ZMYM3"	91	-0.05	0.961	0.981	NA	"GBF1, WDR66, NNMT, LYAR, + 37 genes"
"ZNF404"	"ZNF404"	42	-0.05	0.959	0.981	NA	"RAPGEF3, SGPP2, H1FX-AS1, TMEM234, + 10 genes"
"PTTG1"	"PTTG1"	72	-0.05	0.957	0.981	NA	"SMARCD2, ANAPC1, MRPL27, MRPL14, + 16 genes"
"ETV6"	"ETV6"	51	-0.05	0.957	0.981	NA	"OTUD6B-AS1, RCHY1, LIMK1, BORCS7, + 5 genes"
"ZBED3"	"ZBED3"	62	-0.06	0.95	0.976	NA	"TBC1D10A, LTA4H, CPEB3, RANGAP1, + 10 genes"
"MXD3"	"MXD3"	93	-0.06	0.95	0.976	NA	"TRIP11, GNG12, TAZ, RPL10P19, + 41 genes"
"ZSCAN1"	"ZSCAN1"	123	-0.07	0.948	0.976	NA	"IPO13, SKAP2, AGFG1, SOCS2-AS1, + 23 genes"
"KAT7"	"KAT7"	95	-0.07	0.947	0.976	NA	"TMEM192, MAGT1, ANKMY2, SDAD1P1, + 46 genes"
"NR5A2"	"NR5A2"	25	-0.07	0.947	0.976	NA	"LARP6, TCF4, GNPDA1, RNF150"
"RXRB"	"RXRB"	115	-0.07	0.944	0.976	NA	"STRN, SEC23A, TNK1, MMAB, + 33 genes"
"IKZF3"	"IKZF3"	71	-0.07	0.941	0.976	NA	"HSDL1, PAPOLA, RHBDF1, KLHDC8A, + 13 genes"
"MTA1"	"MTA1"	60	-0.08	0.937	0.976	NA	"YWHAQ, KMT5C, BRAT1, FBRSL1, + 24 genes"
"ZNF836"	"ZNF836"	40	-0.09	0.932	0.973	NA	"ABHD3, EIF2S3, RSL1D1, ZBTB34, + 16 genes"
"ZNF18"	"ZNF18"	56	-0.09	0.93	0.972	NA	"PXN-AS1, PTPN14, DDX56, FOXRED1, + 9 genes"
"ZNF544"	"ZNF544"	32	-0.09	0.929	0.972	NA	"ZNF607, RPL7L1, ZFP36L1, TRMT12, + 4 genes"
"YBX2"	"YBX2"	28	-0.09	0.928	0.972	NA	"TUBG2, UHMK1, DUOXA1, PEBP4, + 7 genes"
"HOXB7"	"HOXB7"	37	-0.09	0.926	0.972	NA	"GAL3ST4, SLC15A3, GPSM3, C2, + 14 genes"
"ZNF517"	"ZNF517"	43	-0.1	0.923	0.971	NA	"WASH3P, C6orf48, RAB40C, FIZ1, + 19 genes"
"ZBTB4"	"ZBTB4"	52	-0.1	0.917	0.968	NA	"RTL5, STIM1, FAM49B, NTAN1, + 2 genes"
"NCOR2"	"NCOR2"	131	-0.1	0.917	0.968	NA	"ISCA1, MRPS31, SRSF7, HGS, + 61 genes"
"ZNF300"	"ZNF300"	105	-0.11	0.909	0.966	NA	"RGL3, SSH3, GPCPD1, MEMO1, + 32 genes"
"TEAD2"	"TEAD2"	108	-0.12	0.905	0.964	NA	"LZTS1, ADAMTS7, PLXND1, GJA4, + 21 genes"
"ZNF35"	"ZNF35"	32	-0.12	0.904	0.964	NA	"MRPS22, EIF2S1, GRPEL2, LTBP3, + 12 genes"
"TEAD3"	"TEAD3"	84	-0.12	0.901	0.963	NA	"MYEF2, SCRIB, CDC42EP1, SPATA13, + 20 genes"
"TOX4"	"TOX4"	88	-0.13	0.899	0.963	NA	"YY1AP1, AGAP6, SERBP1, TSPYL1, + 39 genes"
"ETV7"	"ETV7"	84	-0.13	0.895	0.961	NA	"DDB2, ACP2, PML, FBXO6, + 77 genes"
"ELK3"	"ELK3"	149	-0.14	0.89	0.956	NA	"LINC01184, AMZ2, VPS16, CDKN2AIPNL, + 47 genes"
"ZNF770"	"ZNF770"	244	-0.14	0.888	0.956	NA	"ITCH, RAD50, DCTN4, CST3, + 94 genes"
"MEF2C"	"MEF2C"	44	-0.15	0.882	0.954	NA	"LRRC8C, NIPSNAP1, PDLIM4, MEF2C-AS1, + 13 genes"
"PATZ1"	"PATZ1"	89	-0.16	0.869	0.945	NA	"SMARCB1, DLL4, MCAT, ALKBH4, + 28 genes"
"ETS1"	"ETS1"	84	-0.18	0.854	0.934	NA	"ARID5A, PELI3, FOXN2, SYNE4, + 27 genes"
"ZFP64"	"ZFP64"	84	-0.18	0.854	0.934	NA	"GCN1, ERCC5, TAF6, LPCAT3, + 29 genes"
"ZFHX2"	"ZFHX2"	90	-0.19	0.853	0.934	NA	"FAM222B, ASAH1, NOL4L, BCAS2, + 39 genes"
"VENTX"	"VENTX"	66	-0.19	0.853	0.934	NA	"RGL4, C3AR1, SPI1, LY86, + 36 genes"
"NFE2"	"NFE2"	101	-0.19	0.851	0.934	NA	"CCDC96, RPS6KA2, TTC39A, PROS1, + 12 genes"
"SMARCE1"	"SMARCE1"	74	-0.19	0.846	0.93	NA	"FAM200A, TBC1D31, MRFAP1L1, MAGOHB, + 32 genes"
"ZNF121"	"ZNF121"	66	-0.2	0.844	0.93	NA	"SAMD1, UTP14C, ALG11, ASAH1, + 14 genes"
"SPI1"	"SPI1"	168	-0.2	0.844	0.93	NA	"HCK, SLC15A3, GPSM3, C2, + 73 genes"
"QRICH1"	"QRICH1"	44	-0.2	0.843	0.93	NA	"CAMSAP1, ILF3, ZNF7, GCAT, + 17 genes"
"ZNF667"	"ZNF667"	69	-0.2	0.842	0.93	NA	"ANKS6, POU2F3, TNFAIP3, ZNF732, + 18 genes"
"ZNF592"	"ZNF592"	104	-0.2	0.842	0.93	NA	"COPS9, GMNN, MIEF1, SPEN, + 22 genes"
"ZNF212"	"ZNF212"	25	-0.2	0.841	0.93	NA	"ACTR3, MAP3K13, GTF3C5, SPOUT1, + 20 genes"
"ZFP91"	"ZFP91"	197	-0.2	0.841	0.93	NA	"ARID3B, DLAT, ATAD1, ZNF770, + 114 genes"
"NOC3L"	"NOC3L"	81	-0.2	0.838	0.93	NA	"HERC4, LY6G5C, PPFIBP1, M6PR, + 27 genes"
"TFAP2E"	"TFAP2E"	56	-0.21	0.835	0.93	NA	"ARHGAP45, REEP2, SERPINF2, ATP5F1B, + 12 genes"
"ATF6"	"ATF6"	54	-0.21	0.834	0.93	NA	"DDX21, ZNF18, PSMC1, MCFD2, + 25 genes"
"SATB2"	"SATB2"	131	-0.21	0.831	0.929	NA	"ARAF, ZDHHC13, TMOD3, AAR2, + 33 genes"
"ZNF835"	"ZNF835"	40	-0.22	0.825	0.923	NA	"ALKBH4, ZNF691, IFNGR1, VPS26B, + 19 genes"
"TERF2"	"TERF2"	50	-0.23	0.821	0.92	NA	"TSC22D1, FAM89A, EIF4ENIF1, ABCC10, + 14 genes"
"NFE2L1"	"NFE2L1"	130	-0.23	0.819	0.919	NA	"ZSCAN16, TMEM71, PSMC1, MCFD2, + 43 genes"
"FOSL1"	"FOSL1"	37	-0.25	0.806	0.906	NA	"C3orf52, PARS2, VMP1, AP3M2, + 11 genes"
"MAFG"	"MAFG"	51	-0.25	0.8	0.905	NA	"JADE2, SLC25A53, ERCC5, MIR22HG, + 18 genes"
"ZBTB12"	"ZBTB12"	53	-0.25	0.799	0.905	NA	"SLC35F3, DPF2, UBTF, NYNRIN, + 47 genes"
"MZF1"	"MZF1"	84	-0.25	0.799	0.905	NA	"HSP90AA1, KMT5C, SPPL2B, XRCC5, + 24 genes"
"SATB1"	"SATB1"	77	-0.26	0.798	0.905	NA	"C16orf95, SLC27A4, KANSL1L, AEBP2, + 16 genes"
"TET3"	"TET3"	261	-0.26	0.798	0.905	NA	"FTCDNL1, HIP1, TGFB1, CCND1, + 55 genes"
"ZNF418"	"ZNF418"	37	-0.26	0.798	0.905	NA	"OBSCN, GABRE, GOLGA2P5, SETDB1, + 6 genes"
"HKR1"	"HKR1"	45	-0.26	0.793	0.905	NA	"ZNF793-AS1, ITFG2, ZNF691, ZNF785, + 15 genes"
"ZNF217"	"ZNF217"	200	-0.27	0.791	0.904	NA	"OSBPL3, PTRHD1, TRIM59, SNTA1, + 78 genes"
"MAFK"	"MAFK"	91	-0.27	0.79	0.903	NA	"PHF2, LRR1, MAFF, OSTC, + 18 genes"
"ZNF720"	"ZNF720"	72	-0.27	0.785	0.9	NA	"CARF, SREK1, ZNF770, FUBP1, + 47 genes"
"ZNF599"	"ZNF599"	89	-0.28	0.783	0.9	NA	"GSTA4, GKAP1, TIGD1, CREB3L4, + 24 genes"
"ASCL2"	"ASCL2"	60	-0.28	0.78	0.899	NA	"SECTM1, CALHM6, MATK, NKG7, + 23 genes"
"KLF15"	"KLF15"	45	-0.28	0.779	0.899	NA	"LAMB3, C21orf62-AS1, TNFSF15, LINC01550, + 9 genes"
"ZNF133"	"ZNF133"	61	-0.29	0.776	0.898	NA	"YWHAQ, ZNF691, DPH3, LEMD2, + 21 genes"
"KDM5C"	"KDM5C"	54	-0.29	0.775	0.898	NA	"URB1, CETN3, DOCK6, ESD, + 16 genes"
"TGIF1"	"TGIF1"	35	-0.29	0.775	0.898	NA	"FANK1, YPEL3, FBXW4P1, TOMM70, + 31 genes"
"IRF4"	"IRF4"	49	-0.29	0.774	0.898	NA	"IL10RA, CD7, CD6, SFMBT2, + 12 genes"
"ZNF335"	"ZNF335"	86	-0.29	0.773	0.898	NA	"ANXA3, CHMP2B, ALOX12, SSBP2, + 39 genes"
"GATAD1"	"GATAD1"	99	-0.29	0.77	0.898	NA	"MCEE, PAN2, WDR20, GATM, + 41 genes"
"TFEC"	"TFEC"	79	-0.3	0.767	0.898	NA	"APBB1IP, SAMHD1, LILRB1, TRPM2, + 46 genes"
"MITF"	"MITF"	46	-0.3	0.765	0.898	NA	"RAB30, TSPYL1, RAB4B, ROGDI, + 15 genes"
"ZNF274"	"ZNF274"	45	-0.31	0.76	0.898	NA	"COL4A3, N4BP2L2, PYCR1, ZBED1, + 10 genes"
"ZNF775"	"ZNF775"	139	-0.31	0.76	0.898	NA	"DAB2IP, FAM110C, CTBS, DOCK9, + 12 genes"
"SLC30A9"	"SLC30A9"	252	-0.32	0.753	0.895	NA	"HINT3, VEPH1, PRRC1, VPS36, + 110 genes"
"ZNF487"	"ZNF487"	82	-0.32	0.75	0.893	NA	"CFAP69, PSTK, ZFAND5, SFR1, + 14 genes"
"RFX5"	"RFX5"	39	-0.32	0.75	0.893	NA	"BATF2, SNHG19, RPS18P9, PATL1, + 18 genes"
"ZBTB47"	"ZBTB47"	129	-0.32	0.75	0.893	NA	"SLC27A2, RAD21-AS1, RORA, PECR, + 38 genes"
"ZNF449"	"ZNF449"	30	-0.33	0.744	0.889	NA	"TBC1D1, SF3A3, CCNJ, DTNA, + 26 genes"
"ZNF117"	"ZNF117"	118	-0.34	0.735	0.882	NA	"CELSR3, ACO2, LGMN, STK40, + 18 genes"
"SNAPC4"	"SNAPC4"	103	-0.35	0.724	0.873	NA	"NAPG, MIB2, EXD3, EML3, + 48 genes"
"NFIC"	"NFIC"	43	-0.36	0.721	0.872	NA	"PQLC3, PIP5K1C, PDCD10, DUSP11, + 19 genes"
"ZNF266"	"ZNF266"	40	-0.36	0.721	0.872	NA	"PPP2R3B, LMBR1L, TEPSIN, NTN5, + 36 genes"
"ZNF526"	"ZNF526"	58	-0.36	0.719	0.872	NA	"RNFT1, ZNF836, GPR3, ZNF616, + 7 genes"
"STAT5B"	"STAT5B"	37	-0.36	0.718	0.872	NA	"RPL23AP82, ATP5PF, MLLT6, ANKRD16, + 13 genes"
"ZNF276"	"ZNF276"	123	-0.36	0.717	0.872	NA	"TMEM266, RPL10P19, GAS6-AS1, ARHGAP27, + 117 genes"
"DNAJC2"	"DNAJC2"	89	-0.36	0.717	0.872	NA	"RBM39, INTS1, AGPAT1, HADHA, + 36 genes"
"DLX3"	"DLX3"	103	-0.36	0.715	0.872	NA	"EMP2, AJUBA, CCDC91, ESRP2, + 21 genes"
"ZFP41"	"ZFP41"	52	-0.37	0.713	0.872	NA	"ABI1, SLC38A10, FBF1, FIZ1, + 16 genes"
"ZNF224"	"ZNF224"	124	-0.37	0.713	0.872	NA	"SLC31A1, SNX12, MSANTD2, ERMARD, + 29 genes"
"IRF9"	"IRF9"	84	-0.38	0.707	0.87	NA	"RPL10P19, HBS1L, ATXN2L, DDX50, + 37 genes"
"ZNF83"	"ZNF83"	71	-0.38	0.706	0.869	NA	"KRT7-AS, ZNF841, ZNF700, HLA-F-AS1, + 9 genes"
"MAF"	"MAF"	32	-0.38	0.706	0.869	NA	"RHPN2, MXRA7, TSPAN9, SLC16A9, + 5 genes"
"ARID5A"	"ARID5A"	147	-0.38	0.705	0.869	NA	"VAV1, SELPLG, CFP, RCN3, + 70 genes"
"ZNF251"	"ZNF251"	87	-0.38	0.703	0.869	NA	"RGL3, EPOR, UBE2N, DNAJA1, + 20 genes"
"HIF1A"	"HIF1A"	132	-0.38	0.703	0.869	NA	"TLE6, GCLM, BRF1, CNN3, + 55 genes"
"NPAS2"	"NPAS2"	28	-0.39	0.695	0.864	NA	"MTSS1L, SLC34A2, DENND1A, SERTAD4, + 6 genes"
"ZNF577"	"ZNF577"	62	-0.39	0.694	0.864	NA	"PCED1A, SUZ12P1, TEPSIN, GOLGA8B, + 57 genes"
"ZNF28"	"ZNF28"	111	-0.39	0.694	0.864	NA	"FNDC5, PATL1, FXR1, E2F4, + 54 genes"
"PBX2"	"PBX2"	70	-0.4	0.686	0.856	NA	"PRPF38B, MOB3C, TMEM233, CCPG1, + 15 genes"
"ZNF226"	"ZNF226"	46	-0.41	0.685	0.856	NA	"MOK, EIF4G1, SLC38A6, SLC16A1, + 17 genes"
"CEBPG"	"CEBPG"	118	-0.41	0.683	0.856	NA	"PRXL2C, LTBP3, MARCH5, FAM3C2, + 28 genes"
"NFIX"	"NFIX"	57	-0.41	0.681	0.856	NA	"BSN, MYOZ1, RAB20, ANKH, + 23 genes"
"MEF2D"	"MEF2D"	38	-0.41	0.679	0.856	NA	"RPP38, RPL27, MYADM, TMEM60, + 6 genes"
"ZNF71"	"ZNF71"	55	-0.41	0.679	0.856	NA	"TNFSF10, KCNJ16, HIBCH, MPZL1, + 6 genes"
"ZFP92"	"ZFP92"	38	-0.42	0.676	0.855	NA	"PXDN, SCARB1, FAM171B, THY1, + 11 genes"
"ZNF468"	"ZNF468"	37	-0.42	0.676	0.855	NA	"PNMA8B, CLDN5, UHRF1BP1L, WASHC5, + 13 genes"
"ZNF514"	"ZNF514"	50	-0.42	0.674	0.855	NA	"LMBR1L, EMC3-AS1, SUZ12P1, HAUS5, + 46 genes"
"SIM2"	"SIM2"	46	-0.42	0.672	0.854	NA	"FAM104B, HSD11B2, CD55, NPEPPS, + 5 genes"
"SP100"	"SP100"	38	-0.42	0.672	0.854	NA	"TRIM16L, RASL10B, ERBB3, ERAP2, + 11 genes"
"MEIS3"	"MEIS3"	52	-0.43	0.669	0.854	NA	"LZTS1, MMP11, TMEM132A, HTRA1, + 4 genes"
"ELF4"	"ELF4"	173	-0.43	0.666	0.852	NA	"ENTPD3-AS1, POLG, MSR1, LAT2, + 58 genes"
"HOXB2"	"HOXB2"	54	-0.44	0.662	0.848	NA	"HCK, PRR5L, CASP1, HOXB-AS1, + 20 genes"
"EBF4"	"EBF4"	234	-0.44	0.66	0.847	NA	"AHNAK2, NOD1, PNMA1, GSTM3, + 33 genes"
"ZSCAN9"	"ZSCAN9"	79	-0.44	0.66	0.847	NA	"SNX12, ZUP1, SFPQ, ATXN3, + 19 genes"
"ZNF763"	"ZNF763"	98	-0.44	0.66	0.847	NA	"PRRT1, KCNE2, ATP6V1B2, TTC34, + 18 genes"
"ZNF284"	"ZNF284"	26	-0.44	0.659	0.847	NA	"NFIL3, ZNF691, NEDD9, ZNF785, + 4 genes"
"RERE"	"RERE"	65	-0.44	0.657	0.847	NA	"SALL1, STEAP3, SMAD3, SLC9A8, + 12 genes"
"ZNF846"	"ZNF846"	30	-0.44	0.657	0.847	NA	"ZMAT1, GABBR1, TTC21A, FAM76B, + 4 genes"
"FOXE1"	"FOXE1"	59	-0.44	0.657	0.847	NA	"ZBTB2, PTCD2, CES4A, SLC30A4, + 17 genes"
"TCF3"	"TCF3"	112	-0.45	0.655	0.847	NA	"CEP131, CTXN1, CYBC1, DHX29, + 28 genes"
"KLF8"	"KLF8"	74	-0.45	0.652	0.847	NA	"HADHA, HECTD2, KIAA1217, PAPLN, + 31 genes"
"TBX19"	"TBX19"	131	-0.45	0.651	0.847	NA	"N4BP2L2-IT2, ACAT1, METTL2A, LMO4, + 44 genes"
"PLEK"	"PLEK"	115	-0.45	0.65	0.847	NA	"GK, LILRB4, CCL8, ARHGAP25, + 63 genes"
"CREBZF"	"CREBZF"	56	-0.46	0.643	0.842	NA	"KLF3-AS1, CHORDC1, PRPF38B, SLC35F6, + 10 genes"
"CIC"	"CIC"	63	-0.47	0.641	0.842	NA	"AP2A1, PLXNB2, GTPBP1, WDTC1, + 21 genes"
"ZNF496"	"ZNF496"	48	-0.47	0.641	0.842	NA	"FOXK2, C12orf49, FKBP7, RARRES1, + 5 genes"
"HOXB3"	"HOXB3"	32	-0.47	0.639	0.842	NA	"CAPN11, HOXB6, S1PR5, VASH1, + 7 genes"
"POU2F2"	"POU2F2"	81	-0.47	0.638	0.842	NA	"ANKRD6, C1orf162, SELPLG, CFP, + 52 genes"
"ZNF436"	"ZNF436"	40	-0.48	0.632	0.838	NA	"KCTD10, PKN1, PIM3, AMDHD2, + 10 genes"
"HIC1"	"HIC1"	48	-0.48	0.63	0.837	NA	"MANBA, HOXA3, CFD, BDKRB2, + 3 genes"
"TBX6"	"TBX6"	51	-0.49	0.622	0.833	NA	"SEC23A, ARIH2OS, COPB1, UBQLN1, + 7 genes"
